OrderID,event_timestamp,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice,Year,Month,DayOfWeek,Quarter,IsWeekend,EffectiveUnitPrice,RevenuePerCartItem,RevenueIntensityScore,PriceDeviation,SpendTier
ORD200112,2023-01-01,C81366,Monitor,1.0,410.6,423 Main St,Online,Cancelled,TRK17062206,2.0,WINTER15,Referral,410.6,2023,1,6,1,1,410.6,205.3,205.3,51.936380368098185,0
ORD200848,2023-01-01,C54675,Chair,2.0,645.85,634 Main St,Online,Shipped,TRK18049633,5.0,FREESHIP,Referral,1291.7,2023,1,6,1,1,645.85,258.34000000000003,129.17000000000002,290.1897191011236,1
ORD200236,2023-01-01,C14847,Monitor,1.0,318.81,562 Main St,Debit Card,Pending,TRK39663243,3.0,WINTER15,Email,318.81,2023,1,6,1,1,318.81,106.27,106.27,-39.853619631901836,0
ORD200373,2023-01-02,C60178,Laptop,3.0,341.15,969 Main St,Cash,Pending,TRK84505143,4.0,FREESHIP,Instagram,1023.45,2023,1,0,1,0,341.15000000000003,255.8625,85.28750000000001,-16.5570520231214,1
ORD200645,2023-01-02,C82990,Laptop,2.0,150.05,727 Main St,Credit Card,Cancelled,TRK68574801,4.0,SAVE10,Facebook,300.1,2023,1,0,1,0,150.05,75.025,37.5125,-207.65705202312137,0
ORD200881,2023-01-03,C59579,Tablet,2.0,448.85,386 Main St,Credit Card,Pending,TRK48000034,6.0,FREESHIP,Instagram,897.7,2023,1,1,1,0,448.85,149.61666666666667,74.80833333333334,81.17089385474861,1
ORD200698,2023-01-04,C44366,Laptop,2.0,388.22,169 Main St,Cash,Delivered,TRK48658394,2.0,WINTER15,Instagram,776.44,2023,1,2,1,0,388.22,388.22,194.11,30.51294797687865,0
ORD200000,2023-01-04,C72649,Monitor,5.0,570.62,928 Main St,Debit Card,Shipped,TRK37947903,7.0,SAVE10,Instagram,2853.1,2023,1,2,1,0,570.62,407.5857142857143,81.51714285714286,211.95638036809817,3
ORD200491,2023-01-05,C98168,Phone,5.0,420.7,481 Main St,Cash,Pending,TRK56423359,5.0,WINTER15,Facebook,2103.5,2023,1,3,1,0,420.7,420.7,84.14,45.48243589743589,2
ORD200371,2023-01-05,C59752,Phone,5.0,307.76,179 Main St,Gift Card,Pending,TRK82229639,9.0,FREESHIP,Google,1538.8,2023,1,3,1,0,307.76,170.97777777777776,34.19555555555556,-67.4575641025641,1
